[16-Sep-2020 06:09:36 UTC] PHP Notice:  Undefined variable: image in /var/www/html/wp-content/themes/wptemplate/template-parts/content/content.php on line 7
[16-Sep-2020 06:09:36 UTC] PHP Deprecated:  WC_Cart->tax_display_cart was called with an argument that is <strong>deprecated</strong> since version 4.4! Use WC_Cart->get_tax_price_display_mode() instead. in /var/www/html/wp-includes/functions.php on line 5057
[16-Sep-2020 06:10:12 UTC] PHP Warning:  require_once(/var/www/html/wp-content/plugins/woocommerce-payments/vendor/composer/autoload_classmap_package.php): failed to open stream: No such file or directory in /var/www/html/wp-content/plugins/woocommerce-payments/vendor/autoload_packages.php on line 183
[16-Sep-2020 06:10:12 UTC] PHP Fatal error:  require_once(): Failed opening required '/var/www/html/wp-content/plugins/woocommerce-payments/vendor/composer/autoload_classmap_package.php' (include_path='.:/usr/local/lib/php') in /var/www/html/wp-content/plugins/woocommerce-payments/vendor/autoload_packages.php on line 183
[16-Sep-2020 06:10:14 UTC] PHP Warning:  require_once(/var/www/html/wp-content/plugins/woocommerce-payments/vendor/composer/autoload_classmap_package.php): failed to open stream: No such file or directory in /var/www/html/wp-content/plugins/woocommerce-payments/vendor/autoload_packages.php on line 183
[16-Sep-2020 06:10:14 UTC] PHP Fatal error:  require_once(): Failed opening required '/var/www/html/wp-content/plugins/woocommerce-payments/vendor/composer/autoload_classmap_package.php' (include_path='.:/usr/local/lib/php') in /var/www/html/wp-content/plugins/woocommerce-payments/vendor/autoload_packages.php on line 183
[16-Sep-2020 06:10:14 UTC] PHP Warning:  require_once(/var/www/html/wp-content/plugins/woocommerce-payments/vendor/composer/autoload_classmap_package.php): failed to open stream: No such file or directory in /var/www/html/wp-content/plugins/woocommerce-payments/vendor/autoload_packages.php on line 183
[16-Sep-2020 06:10:14 UTC] PHP Fatal error:  require_once(): Failed opening required '/var/www/html/wp-content/plugins/woocommerce-payments/vendor/composer/autoload_classmap_package.php' (include_path='.:/usr/local/lib/php') in /var/www/html/wp-content/plugins/woocommerce-payments/vendor/autoload_packages.php on line 183
[16-Sep-2020 06:11:22 UTC] PHP Warning:  require_once(/var/www/html/wp-content/plugins/woocommerce-payments/vendor/autoload_packages.php): failed to open stream: No such file or directory in /var/www/html/wp-content/plugins/woocommerce-payments/woocommerce-payments.php on line 26
[16-Sep-2020 06:11:22 UTC] PHP Fatal error:  require_once(): Failed opening required '/var/www/html/wp-content/plugins/woocommerce-payments/vendor/autoload_packages.php' (include_path='.:/usr/local/lib/php') in /var/www/html/wp-content/plugins/woocommerce-payments/woocommerce-payments.php on line 26
[16-Sep-2020 06:11:23 UTC] PHP Warning:  require_once(/var/www/html/wp-content/plugins/woocommerce-payments/vendor/autoload_packages.php): failed to open stream: No such file or directory in /var/www/html/wp-content/plugins/woocommerce-payments/woocommerce-payments.php on line 26
[16-Sep-2020 06:11:23 UTC] PHP Warning:  require_once(/var/www/html/wp-content/plugins/woocommerce-payments/vendor/autoload_packages.php): failed to open stream: No such file or directory in /var/www/html/wp-content/plugins/woocommerce-payments/woocommerce-payments.php on line 26
[16-Sep-2020 06:11:23 UTC] PHP Fatal error:  require_once(): Failed opening required '/var/www/html/wp-content/plugins/woocommerce-payments/vendor/autoload_packages.php' (include_path='.:/usr/local/lib/php') in /var/www/html/wp-content/plugins/woocommerce-payments/woocommerce-payments.php on line 26
[16-Sep-2020 06:11:23 UTC] PHP Fatal error:  require_once(): Failed opening required '/var/www/html/wp-content/plugins/woocommerce-payments/vendor/autoload_packages.php' (include_path='.:/usr/local/lib/php') in /var/www/html/wp-content/plugins/woocommerce-payments/woocommerce-payments.php on line 26
[16-Sep-2020 06:11:50 UTC] PHP Warning:  require_once(/var/www/html/wp-content/plugins/woocommerce-payments/vendor/autoload_packages.php): failed to open stream: No such file or directory in /var/www/html/wp-content/plugins/woocommerce-payments/woocommerce-payments.php on line 26
[16-Sep-2020 06:11:50 UTC] PHP Fatal error:  require_once(): Failed opening required '/var/www/html/wp-content/plugins/woocommerce-payments/vendor/autoload_packages.php' (include_path='.:/usr/local/lib/php') in /var/www/html/wp-content/plugins/woocommerce-payments/woocommerce-payments.php on line 26
[16-Sep-2020 06:11:53 UTC] PHP Warning:  require_once(/var/www/html/wp-content/plugins/woocommerce-payments/vendor/autoload_packages.php): failed to open stream: No such file or directory in /var/www/html/wp-content/plugins/woocommerce-payments/woocommerce-payments.php on line 26
[16-Sep-2020 06:11:53 UTC] PHP Fatal error:  require_once(): Failed opening required '/var/www/html/wp-content/plugins/woocommerce-payments/vendor/autoload_packages.php' (include_path='.:/usr/local/lib/php') in /var/www/html/wp-content/plugins/woocommerce-payments/woocommerce-payments.php on line 26
[16-Sep-2020 06:11:53 UTC] PHP Warning:  require_once(/var/www/html/wp-content/plugins/woocommerce-payments/vendor/autoload_packages.php): failed to open stream: No such file or directory in /var/www/html/wp-content/plugins/woocommerce-payments/woocommerce-payments.php on line 26
[16-Sep-2020 06:11:53 UTC] PHP Fatal error:  require_once(): Failed opening required '/var/www/html/wp-content/plugins/woocommerce-payments/vendor/autoload_packages.php' (include_path='.:/usr/local/lib/php') in /var/www/html/wp-content/plugins/woocommerce-payments/woocommerce-payments.php on line 26
[16-Sep-2020 06:12:56 UTC] PHP Notice:  copy(): write of 8192 bytes failed with errno=14 Bad address in /var/www/html/wp-admin/includes/class-wp-filesystem-direct.php on line 309
[16-Sep-2020 06:15:10 UTC] PHP Notice:  Undefined variable: sub in /var/www/html/wp-content/themes/wptemplate/header.php on line 27
[16-Sep-2020 06:15:11 UTC] The WC_Cart->tax_display_cart argument is deprecated since version 4.4. Use WC_Cart->get_tax_price_display_mode() instead.
[16-Sep-2020 06:15:38 UTC] PHP Notice:  Undefined variable: image in /var/www/html/wp-content/themes/wptemplate/template-parts/content/content.php on line 7
[16-Sep-2020 06:15:38 UTC] PHP Deprecated:  WC_Cart->tax_display_cart was called with an argument that is <strong>deprecated</strong> since version 4.4! Use WC_Cart->get_tax_price_display_mode() instead. in /var/www/html/wp-includes/functions.php on line 5057
[16-Sep-2020 06:15:46 UTC] PHP Notice:  Undefined variable: sub in /var/www/html/wp-content/themes/wptemplate/header.php on line 27
[16-Sep-2020 06:15:47 UTC] The WC_Cart->tax_display_cart argument is deprecated since version 4.4. Use WC_Cart->get_tax_price_display_mode() instead.
[17-Sep-2020 02:37:53 UTC] PHP Notice:  Undefined variable: sub in /var/www/html/wp-content/themes/wptemplate/header.php on line 27
[17-Sep-2020 02:38:33 UTC] PHP Fatal error:  Cannot redeclare WC() (previously declared in /var/www/html/wp-content/plugins/woocommerce/woocommerce.php:47) in /var/www/html/wp-content/plugins/woocommerce/woocommerce 2.php on line 46
[17-Sep-2020 02:38:34 UTC] PHP Fatal error:  Cannot redeclare WC() (previously declared in /var/www/html/wp-content/plugins/woocommerce/woocommerce.php:47) in /var/www/html/wp-content/plugins/woocommerce/woocommerce 2.php on line 46
[17-Sep-2020 02:38:34 UTC] PHP Fatal error:  Cannot redeclare WC() (previously declared in /var/www/html/wp-content/plugins/woocommerce/woocommerce.php:47) in /var/www/html/wp-content/plugins/woocommerce/woocommerce 2.php on line 46
[17-Sep-2020 02:39:35 UTC] PHP Warning:  require(/var/www/html/wp-content/plugins/woocommerce/src/Autoloader.php): failed to open stream: No such file or directory in /var/www/html/wp-content/plugins/woocommerce/woocommerce.php on line 24
[17-Sep-2020 02:39:35 UTC] PHP Fatal error:  require(): Failed opening required '/var/www/html/wp-content/plugins/woocommerce/src/Autoloader.php' (include_path='.:/usr/local/lib/php') in /var/www/html/wp-content/plugins/woocommerce/woocommerce.php on line 24
[17-Sep-2020 02:41:37 UTC] PHP Notice:  Undefined variable: sub in /var/www/html/wp-content/themes/wptemplate/header.php on line 27
[17-Sep-2020 02:42:04 UTC] PHP Notice:  Undefined variable: sub in /var/www/html/wp-content/themes/wptemplate/header.php on line 27
[17-Sep-2020 02:42:21 UTC] PHP Notice:  Undefined variable: sub in /var/www/html/wp-content/themes/wptemplate/header.php on line 27
[17-Sep-2020 02:44:36 UTC] PHP Notice:  Undefined variable: sub in /var/www/html/wp-content/themes/wptemplate/header.php on line 27
[17-Sep-2020 02:44:39 UTC] PHP Notice:  Undefined variable: sub in /var/www/html/wp-content/themes/wptemplate/header.php on line 27
[17-Sep-2020 02:44:54 UTC] PHP Notice:  Undefined variable: sub in /var/www/html/wp-content/themes/wptemplate/header.php on line 27
[17-Sep-2020 02:44:56 UTC] The WC_Cart->tax_display_cart argument is deprecated since version 4.4. Use WC_Cart->get_tax_price_display_mode() instead.
[17-Sep-2020 02:45:46 UTC] PHP Notice:  Undefined variable: sub in /var/www/html/wp-content/themes/wptemplate/header.php on line 27
[17-Sep-2020 02:46:44 UTC] PHP Notice:  Undefined variable: sub in /var/www/html/wp-content/themes/wptemplate/header.php on line 27
[17-Sep-2020 02:47:23 UTC] PHP Notice:  Undefined variable: sub in /var/www/html/wp-content/themes/wptemplate/header.php on line 27
[17-Sep-2020 02:49:09 UTC] PHP Notice:  Undefined variable: sub in /var/www/html/wp-content/themes/wptemplate/header.php on line 27
[17-Sep-2020 02:49:33 UTC] PHP Notice:  Undefined variable: sub in /var/www/html/wp-content/themes/wptemplate/header.php on line 27
[17-Sep-2020 02:51:37 UTC] PHP Notice:  Undefined variable: sub in /var/www/html/wp-content/themes/wptemplate/header.php on line 27
[17-Sep-2020 02:53:09 UTC] PHP Notice:  Undefined variable: sub in /var/www/html/wp-content/themes/wptemplate/header.php on line 27
[17-Sep-2020 03:02:07 UTC] PHP Notice:  Undefined variable: sub in /var/www/html/wp-content/themes/wptemplate/header.php on line 27
[17-Sep-2020 03:02:18 UTC] PHP Notice:  Undefined variable: sub in /var/www/html/wp-content/themes/wptemplate/header.php on line 27
[17-Sep-2020 03:03:56 UTC] PHP Notice:  Undefined variable: sub in /var/www/html/wp-content/themes/wptemplate/header.php on line 27
